batch_id,row_no,action,legacy_sku,canonical_sku,product_name,detail_group,current_image_key,image_status,review_status,notes
TEA-BATCH-03,1,REMAP,BGKQ-0145,HTRKIG,Hồng trà King,King,bgkq-0145,VERIFY_EXISTING,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; 500 g/bịch; 30 bịch/bao; giữ variantId và ảnh cũ nếu audit PASS
TEA-BATCH-03,2,CREATE_NEW,,HTRLPH,Hồng trà Lộc Phát,Lộc Phát,,WAITING_MANUAL_IMAGE,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; 1000 g/bịch; 12 bịch/thùng; không alias SKU gộp cũ; ảnh bổ sung thủ công; không tạo ảnh AI
TEA-BATCH-03,3,REMAP,BGKQ-0151,TR9DXN,Trà số 9 Douxian,Douxian,bgkq-0151,VERIFY_EXISTING,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; 500 g/bịch; 10 bịch/thùng; giữ variantId và ảnh cũ nếu audit PASS
TEA-BATCH-03,4,REMAP,BGKQ-0156,TROLTA,Trà Olong tấm,Hoàng Gia,bgkq-0156,VERIFY_EXISTING,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; 500 g/bịch; 20 bịch/thùng; giữ variantId và ảnh cũ nếu audit PASS
TEA-BATCH-03,5,REMAP,BGKQ-0158,HTRTNB,Hồng trà Tân Nam Bắc,Tân Nam Bắc,bgkq-0158,VERIFY_EXISTING,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; 300 g/bịch; 50 bịch/thùng; giữ variantId và ảnh cũ nếu audit PASS
TEA-BATCH-03,6,REMAP,BGKQ-0159,TRDTNB,Trà đào Tân Nam Bắc,Tân Nam Bắc,bgkq-0159,VERIFY_EXISTING,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; 200 g/gói; 30 gói/thùng; giữ variantId và ảnh cũ nếu audit PASS
TEA-BATCH-03,7,REMAP,BGKQ-0160,TRLTNB,Trà lài Tân Nam Bắc,Tân Nam Bắc,bgkq-0160,VERIFY_EXISTING,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; 300 g/gói; 50 gói/thùng; giữ variantId và ảnh cũ nếu audit PASS
TEA-BATCH-03,8,CREATE_NEW,,TRSPLL,Trà sen Phúc Long lọc,Phúc Long,,WAITING_MANUAL_IMAGE,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; 100 g/hộp; 20 hộp/thùng; không alias SKU gộp cũ; ảnh bổ sung thủ công; không tạo ảnh AI
TEA-BATCH-03,9,CREATE_NEW,,TRLPLL,Trà lài Phúc Long lọc,Phúc Long,,WAITING_MANUAL_IMAGE,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; COUNT_ONLY; bán theo hộp; 20 hộp/thùng; netQuantity/netUnit để trống; không alias SKU gộp cũ; ảnh bổ sung thủ công; không tạo ảnh AI
TEA-BATCH-03,10,REMAP,BGKQ-0163,TROPLL,Trà Olong Phúc Long lọc,Phúc Long,bgkq-0163,VERIFY_EXISTING,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; COUNT_ONLY; bán theo hộp; 20 hộp/thùng; netQuantity/netUnit để trống; giữ variantId và ảnh cũ nếu audit PASS
TEA-BATCH-03,11,CREATE_NEW,,TRSETN,Trà sen Thái Nguyên,Thái Nguyên,,WAITING_MANUAL_IMAGE,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; 100 g/bịch; 25 bịch/thùng; không alias SKU gộp cũ; ảnh bổ sung thủ công; không tạo ảnh AI
TEA-BATCH-03,12,CREATE_NEW,,TRLATN,Trà lài Thái Nguyên,Thái Nguyên,,WAITING_MANUAL_IMAGE,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; 100 g/bịch; 25 bịch/thùng; không alias SKU gộp cũ; ảnh bổ sung thủ công; không tạo ảnh AI
TEA-BATCH-03,13,CREATE_NEW,,COHTBD,Cozy hòa tan bí đao,Cozy,,WAITING_MANUAL_IMAGE,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; COUNT_ONLY; bán theo hộp; 30 hộp/thùng; netQuantity/netUnit để trống; không alias SKU gộp cũ; ảnh bổ sung thủ công; không tạo ảnh AI
TEA-BATCH-03,14,CREATE_NEW,,COHTVA,Cozy hòa tan vải,Cozy,,WAITING_MANUAL_IMAGE,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; COUNT_ONLY; bán theo hộp; 30 hộp/thùng; netQuantity/netUnit để trống; không alias SKU gộp cũ; ảnh bổ sung thủ công; không tạo ảnh AI
TEA-BATCH-03,15,CREATE_NEW,,COHTOI,Cozy hòa tan ổi,Cozy,,WAITING_MANUAL_IMAGE,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; COUNT_ONLY; bán theo hộp; 30 hộp/thùng; netQuantity/netUnit để trống; không alias SKU gộp cũ; ảnh bổ sung thủ công; không tạo ảnh AI
TEA-BATCH-03,16,CREATE_NEW,,COHTDO,Cozy hòa tan đào,Cozy,,WAITING_MANUAL_IMAGE,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; COUNT_ONLY; bán theo hộp; 30 hộp/thùng; netQuantity/netUnit để trống; không alias SKU gộp cũ; ảnh bổ sung thủ công; không tạo ảnh AI
TEA-BATCH-03,17,CREATE_NEW,,COHTDA,Cozy hòa tan dâu,Cozy,,WAITING_MANUAL_IMAGE,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; COUNT_ONLY; bán theo hộp; 30 hộp/thùng; netQuantity/netUnit để trống; không alias SKU gộp cũ; ảnh bổ sung thủ công; không tạo ảnh AI
TEA-BATCH-03,18,CREATE_NEW,,COHTCH,Cozy hòa tan chanh,Cozy,,WAITING_MANUAL_IMAGE,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; COUNT_ONLY; bán theo hộp; 30 hộp/thùng; netQuantity/netUnit để trống; không alias SKU gộp cũ; ảnh bổ sung thủ công; không tạo ảnh AI
TEA-BATCH-03,19,CREATE_NEW,,COHTCD,Cozy hòa tan chanh dây,Cozy,,WAITING_MANUAL_IMAGE,MAPPING_APPROVED,Người dùng duyệt toàn bộ batch; COUNT_ONLY; bán theo hộp; 30 hộp/thùng; netQuantity/netUnit để trống; không alias SKU gộp cũ; ảnh bổ sung thủ công; không tạo ảnh AI
