batchId,sku,name,sourceGroup,sourceRow,status,category,sellUnit,sourcePack,outerPack,warning,nextAction,resolution
SIRO-BATCH-02,PIXVQU,SIRO PIXIE VIỆT QUỐC,Siro Thái PIXE,5,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 kg / CHAI,12 CHAI / THÙNG,Khối lượng/dung tích bằng 0,Xác nhận khối lượng hoặc dung tích thật của 1 chai Pixie; không dùng 0 kg.,
SIRO-BATCH-02,PIXPUN,SIRO PIXIE BLUE PUNCH,Siro Thái PIXE,5,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 kg / CHAI,12 CHAI / THÙNG,Khối lượng/dung tích bằng 0,Xác nhận khối lượng hoặc dung tích thật của 1 chai Pixie; không dùng 0 kg.,
SIRO-BATCH-02,PIXBLU,SIRO PIXIE BLUE CURACAO,Siro Thái PIXE,5,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 kg / CHAI,12 CHAI / THÙNG,Khối lượng/dung tích bằng 0,Xác nhận khối lượng hoặc dung tích thật của 1 chai Pixie; không dùng 0 kg.,
SIRO-BATCH-02,SRG2VC,SIRO GOLD 2L VỎ CAM,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SIRO-BATCH-02,SRG2VQ,SIRO GOLD 2L VIỆT QUỐC,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SIRO-BATCH-02,SRG2VA,SIRO GOLD 2L VẢI,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SIRO-BATCH-02,SRG2DO,SIRO GOLD 2L ĐÀO,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SIRO-BATCH-02,SRG2DL,SIRO GOLD 2L DƯA LƯỚI,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SIRO-BATCH-02,SRG2DA,SIRO GOLD 2L DÂU,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SIRO-BATCH-02,SRG2CH,SIRO GOLD 2L CHANH,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SIRO-BATCH-02,SRG2OI,SIRO GOLD 2L ỔI,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SIRO-BATCH-02,SRG2NH,SIRO GOLD 2L NHO,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SIRO-BATCH-02,SRMMVC,SIRO MAMA VỎ CAM,Siro vỏ cam Gold 700ml,9,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CHAI,1000 g / CHAI,12 CHAI / THÙNG,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận thương hiệu Mama hay Gold và quy cách thật 700 ml hay 1000 g.,
SIRO-BATCH-02,GTPDDE,GTP ĐƯỜNG ĐEN,"Siro GTP dâu , duong den",11,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,BÌNH,0 g / BÌNH,6 BÌNH / THÙNG,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một bình GTP đường đen và số bình/thùng.,
SIRO-BATCH-02,SRVNMT,SIRO VINA MĂNG CỤT,Siro Vina,12,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,12 CHAI / THÙNG,Khối lượng/dung tích bằng 0,Xác nhận khối lượng một chai Vina và số chai/thùng.,
SIRO-BATCH-02,SRVNMC,SIRO VINA MÃNG CẦU,Siro Vina,12,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,12 CHAI / THÙNG,Khối lượng/dung tích bằng 0,Xác nhận khối lượng một chai Vina và số chai/thùng.,
SIRO-BATCH-02,SRASDU,SIRO A+ SÂM DỨA,Siro Sâm Dứa Vina,13,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,Khối lượng/dung tích bằng 0,Xác nhận khối lượng một chai A+ sâm dứa và số chai/thùng.,
SIRO-BATCH-02,CRSSCL,CARISA SOCOLA,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
SIRO-BATCH-02,CRSCHA,CARISA CHANH,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,30 CHAI / THÙNG,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
SIRO-BATCH-02,CRSVQU,CARISA VIỆT QUỐC,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
